"Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Número de Finca;Matrícula;Location;Address"
"440286.5307;4473869.701;41787;01  CENTRO;01-02 EMBAJADORES;DOCTOR CORTEZO, CALLE, DEL;7;301210005;440286.5307:4473869.701; CALLE  DEL DOCTOR CORTEZO 7"
"440960.7706;4473333.192;41788;01  CENTRO;01-02 EMBAJADORES;DOCTOR FOURQUET, CALLE, DEL;8;301210041;440960.7706:4473333.192; CALLE  DEL DOCTOR FOURQUET 8"
"440779.7925;4473203.859;41789;01  CENTRO;01-02 EMBAJADORES;DOCTOR FOURQUET, CALLE, DEL;FRENTE 20;301210059;440779.7925:4473203.859; CALLE  DEL DOCTOR FOURQUET FRENTE 20"
"440707.6614;4473359.116;41788;01  CENTRO;01-02 EMBAJADORES;DOCTOR PIGA, CALLE, DEL;5;301210040;440707.6614:4473359.116; CALLE  DEL DOCTOR PIGA 5"
"440079.7403;4473695.878;41787;01  CENTRO;01-02 EMBAJADORES;DUQUE DE ALBA, CALLE, DEL;13;301210012;440079.7403:4473695.878; CALLE  DEL DUQUE DE ALBA 13"
"440032.3509;4473552.66;41787;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;4;301210021;440032.3509:4473552.66; CALLE  DE EMBAJADORES 4"
"440205.4799;4473328.731;41788;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;48;301210038;440205.4799:4473328.731; CALLE  DE EMBAJADORES 48"
"440344.9695;4473053.72;41789;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;70;301210065;440344.9695:4473053.72; CALLE  DE EMBAJADORES 70"
"440342.3563;4472989.541;41789;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, GLORIETA, DE;10;301210070;440342.3563:4472989.541; GLORIETA  DE EMBAJADORES 10"
"439985.7437;4473707.33;41787;01  CENTRO;01-02 EMBAJADORES;ESTUDIOS, CALLE, DE LOS;10;301210011;439985.7437:4473707.33; CALLE  DE LOS ESTUDIOS 10"
"440604.9269;4473383.132;41788;01  CENTRO;01-02 EMBAJADORES;FE, CALLE, DE LA;10;301210039;440604.9269:4473383.132; CALLE  DE LA FE 10"
"440981.1096;4473283.822;41788;01  CENTRO;01-02 EMBAJADORES;HOSPITAL, CALLE, DEL;10;301210044;440981.1096:4473283.822; CALLE  DEL HOSPITAL 10"
"440389.9159;4473534.744;41787;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, CALLE, DE;32;301210020;440389.9159:4473534.744; CALLE  DE LAVAPIES 32"
"440390.3394;4473765.54;41787;01  CENTRO;01-02 EMBAJADORES;MAGDALENA, CALLE, DE LA;8;301210008;440390.3394:4473765.54; CALLE  DE LA MAGDALENA 8"
