FID;Modelo;Fabricante;Situación;ENLACE;GRAD_X;GRAD_Y
113;202T Bicicleta Estática;TUYO HPC;Avda. Marítima;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,24808175;28,46311341
114;155E Silla Pectorales;TUYO HPC;P. Leoncio Oramas;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155E.pdf;-16,26994558;28,45913497
115;202T Bicicleta Estática;TUYO HPC;P. Leoncio Oramas;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,26999435;28,45909984
116;154B Esquí de Fondo;TUYO HPC;P. Leoncio Oramas;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154B.pdf;-16,27001954;28,45908056
117;AE004 Sky Stepper;Parkesa;P. Las Indias; ;-16,27166973;28,46803202
118;MB001 Big Wheel;Parkesa;P. Las Indias; ;-16,27168022;28,468005
119;TS002 Power Push;Parkesa;P. Las Indias; ;-16,27169363;28,46797622
120;AE001 Health Walker;Parkesa;P. Las Indias; ;-16,27170894;28,46794222
121;RB001 Rowing;Parkesa;P. Las Indias; ;-16,27172329;28,46790995
122;RB003 Bicycle;Parkesa;P. Las Indias; ;-16,27173666;28,4678777
123;Barra Dominadas; ;Río Guadalete; ;-16,27656158;28,47371608
124;154B Esquí de Fondo;TUYO HPC;P. Cuchillitos de Tristán;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154B.pdf;-16,27691749;28,4564705
125;154C Slalom;TUYO HPC;P. Cuchillitos de Tristán;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154C.pdf;-16,27693964;28,45639633
126;159J Espaldera;TUYO HPC;P. Cuchillitos de Tristán;https://www.santacruzdetenerife.es/fileadmin/biosaludables/159J.pdf;-16,27694657;28,45636733
127;155H El Jinete;TUYO HPC;P. Cuchillitos de Tristán;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155H.pdf;-16,27696546;28,45632427
128;154D Sube y Baja;TUYO HPC;P. Cuchillitos de Tristán;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154D.pdf;-16,27688352;28,45657051
129;154D Sube y Baja;TUYO HPC;Maestro Borguño;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154D.pdf;-16,28551685;28,45053913
130;155I El Remo;TUYO HPC;Maestro Borguño;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155I.pdf;-16,28545208;28,45053212
131;202T Bicicleta Estática;TUYO HPC;Juan de Mattos y Azofra;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,27345353;28,4575303
132;154B Esquí de Fondo;TUYO HPC;Juan de Mattos y Azofra;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154B.pdf;-16,27342584;28,45751448
133;154G Rueda Grande;TUYO HPC;Camino Los Tarajales;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154G.pdf;-16,21941123;28,56179421
134;154G Rueda Grande;TUYO HPC;Pza. Chamorga;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154G.pdf;-16,15930983;28,5686785
135;154G Rueda Grande;TUYO HPC;Pza. Taborno;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154G.pdf;-16,26452124;28,55718109
136;154G Rueda Grande;TUYO HPC;Ctra. Igueste San Andrés;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154G.pdf;-16,15710479;28,52899007
137;154B Esquí de Fondo;TUYO HPC;Pza. San Pedro;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154B.pdf;-16,15403068;28,52572703
138;RB001 Rowing;Parkesa;Punta de Anaga; ;-16,31098696;28,42576204
139;PF9 Oblic;Novatilu;Pza. Miguel Díaz;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF9.pdf;-16,18878188;28,5121808
140;PF6 Step;Novatilu;Pza. Miguel Díaz;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF6.pdf;-16,18880642;28,51217757
141;PF26 Pulse;Novatilu;Pza. Miguel Díaz;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF26.pdf;-16,18877409;28,51215555
142;PF6 Step;Novatilu;Pza. Taborno;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF6.pdf;-16,26452119;28,55713019
143;PF9 Oblic;Novatilu;Pza. San José;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF9.pdf;-16,33360861;28,42506966
144;PF8 Row;Novatilu;Frangollo;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF8.pdf;-16,3293547;28,44736467
145;PF1 HIP;Novatilu;Frangollo;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF1.pdf;-16,32938426;28,44754687
146;PF13 Bike;Novatilu;Pza. El Rosarito;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF13.pdf;-16,3015442;28,44054758
147;PF1 HIP;Novatilu;Pza. El Rosarito;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF1.pdf;-16,3015184;28,44052974
148;PF9 Oblic;Novatilu;Rambla Añaza;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF9.pdf;-16,2988711;28,4255297
149;PF1 HIP;Novatilu;Rambla Añaza;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF1.pdf;-16,29960129;28,42381528
150;PF3 Torax;Novatilu;Chirama;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF3.pdf;-16,30744204;28,42647205
151;PF8 Row;Novatilu;Chirama;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF8.pdf;-16,30744889;28,4265363
152;PF9 Oblic;Novatilu;Los Estudiantes;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF9.pdf;-16,3044073;28,44517644
153;JSA006 Climber;Fundiciones Benito;Panamá;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA006.pdf;-16,26645904;28,45549446
154;JSA008 Remo;Fundiciones Benito;Panamá;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA008.pdf;-16,26643214;28,45547897
155;JSA018 Bicicleta;Fundiciones Benito;Panamá;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA018.pdf;-16,2664102;28,45546431
156;JSA003 Silla Pectorales;Fundiciones Benito;Pza. Beneharo;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA003.pdf;-16,28343478;28,45127989
157;JSA006 Climber;Fundiciones Benito;Pza. Beneharo;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA006.pdf;-16,28344765;28,45125295
158;PF8 Row;Novatilu;Ctra. Los Campitos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF8.pdf;-16,26341544;28,48622643
159;155I El Remo;TUYO HPC;Ctra. Los Campitos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155I.pdf;-16,26338643;28,48625406
160;PF13 Bike;Novatilu;Tadorna;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF13.pdf;-16,30806777;28,43704871
161;PF9 Oblic;Novatilu;Tadorna;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF9.pdf;-16,30813497;28,43699089
162;JSA 003 Pectorales adap;Fundiciones Benito;Tadorna;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA003D.pdf;-16,30800823;28,43707215
163;JSA 019 Manivelas adap;Fundiciones Benito;Rambla Añaza;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA019D.pdf;-16,29849057;28,42658179
164;JSA 018 Bicicleta adap;Fundiciones Benito;Rambla Añaza;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA018D.pdf;-16,2985557;28,4262661
165;JSA 009 Timón adap;Fundiciones Benito;Rambla Añaza;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA009D.pdf;-16,29922068;28,42486059
